"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\app.js", "JavaScript", 220, 0, 0, 0, 0, 0, 8, 22, 250
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\firebaseConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\models\user.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\package-lock.json", "JSON", 0, 3438, 0, 0, 0, 0, 0, 1, 3439
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\package.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\images\xd.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\scripts\contact.js", "JavaScript", 88, 0, 0, 0, 0, 0, 12, 16, 116
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\scripts\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\styles\contact.css", "CSS", 0, 0, 0, 0, 550, 0, 15, 64, 629
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\styles\login.css", "CSS", 0, 0, 0, 0, 385, 0, 24, 59, 468
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\styles\styles.css", "CSS", 0, 0, 0, 0, 571, 0, 34, 82, 687
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\styles\userprofile.css", "CSS", 0, 0, 0, 0, 102, 0, 10, 11, 123
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\public\styles\vote.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\admin_login.ejs", "HTML", 0, 0, 0, 58, 0, 0, 3, 14, 75
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\contact.ejs", "HTML", 0, 0, 0, 105, 0, 0, 5, 36, 146
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\index.ejs", "HTML", 0, 0, 0, 126, 0, 0, 6, 32, 164
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\login.ejs", "HTML", 0, 0, 0, 124, 0, 0, 4, 5, 133
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\results.ejs", "HTML", 0, 0, 0, 68, 0, 0, 4, 8, 80
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\signupCandidate.ejs", "HTML", 0, 0, 0, 164, 0, 0, 3, 9, 176
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\signupVoter.ejs", "HTML", 0, 0, 0, 155, 0, 0, 11, 7, 173
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\statistics.ejs", "HTML", 0, 0, 0, 171, 0, 0, 5, 9, 185
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\userprofile.ejs", "HTML", 0, 0, 0, 156, 0, 0, 2, 18, 176
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\vote.ejs", "HTML", 0, 0, 0, 101, 0, 0, 21, 24, 146
"c:\Users\Sahil\Desktop\Coding\Project\Online_Voting_System\views\voterDashboard.ejs", "HTML", 0, 0, 0, 61, 0, 0, 6, 8, 75
"Total", "-", 342, 3453, 0, 1289, 1608, 1, 177, 437, 7307